	10	11	11A	11B	12	12A	12B	14A	14B	15	15A	15B	16	17	17A	17B	18	18A	18B	20A	20B	21	21A	21B	22	23	23A	23B	24	24A	24B	27	28	29	2A	2B	3	30	33	34	35	36	39	3A	3B	4	40	41	42	45	46	47	48	5	51	52	53	54	57	58	59	5A	5B	6	60	6A	6B	8A	8B	9	9A	9B
15A	0.717741935483871	0.6579572446555819	0.6769596199524941	0.6438679245283019	0.6615776081424937	0.6760925449871465	0.6601466992665037	0.633495145631068	0.634032634032634	0.6380697050938338	0.0	0.6013986013986014	0.65	0.6630434782608695	0.6137931034482759	0.6951983298538622	0.6764705882352942	0.6041189931350115	0.6478149100257069	0.6342042755344418	0.6839378238341969	0.7158176943699732	0.7142857142857143	0.7980769230769231	0.6721311475409836	0.6925064599483204	0.6155778894472361	0.7092391304347826	0.6710182767624021	0.6180555555555556	0.7404580152671756	0.7110481586402266	0.7342995169082126	0.6309226932668329	0.6851851851851852	0.6440677966101694	0.6442307692307693	0.6811594202898551	0.6474358974358975	0.6483790523690773	0.6760925449871465	0.7072538860103627	0.7029702970297029	0.7135678391959799	0.6490384615384616	0.7015706806282722	0.5654320987654321	0.7152317880794702	0.6792035398230089	0.6858789625360231	0.68	0.6716791979949874	0.6610978520286396	0.7007481296758105	0.712468193384224	0.7336814621409922	0.6764705882352942	0.6487695749440716	0.684863523573201	0.7032418952618454	0.6794871794871795	0.7275064267352185	0.7021276595744681	0.6255707762557078	0.6581196581196581	0.6626506024096386	0.7523809523809524	0.6923076923076923	0.6461916461916462	0.690537084398977	0.6765375854214123	0.6445012787723785
15B	0.7597911227154047	0.6498800959232613	0.6754176610978521	0.6389548693586699	0.6494845360824743	0.7206982543640897	0.6906474820143885	0.644927536231884	0.6193853427895981	0.6719160104986877	0.6013986013986014	0.0	0.7030456852791879	0.7037037037037037	0.6584821428571429	0.6716417910447762	0.6748768472906403	0.6244343891402715	0.6700507614213198	0.6517647058823529	0.731829573934837	0.7674418604651163	0.7128953771289538	0.8028846153846154	0.7229551451187335	0.7208121827411168	0.6739130434782609	0.728494623655914	0.7033248081841432	0.6629213483146067	0.7455470737913485	0.7789757412398922	0.7600950118764845	0.6460396039603961	0.6867749419953596	0.6962616822429907	0.6587112171837709	0.6763990267639902	0.6488222698072805	0.7019230769230769	0.7206982543640897	0.7256410256410256	0.7111111111111111	0.7560975609756098	0.6946386946386947	0.7333333333333333	0.6312056737588653	0.7082405345211581	0.671875	0.7211267605633803	0.6939252336448598	0.6666666666666666	0.6816037735849056	0.6726342710997443	0.7336683417085427	0.7421875	0.6957671957671958	0.6622222222222223	0.7090464547677262	0.7272727272727273	0.748780487804878	0.6992084432717678	0.6723300970873787	0.6754966887417219	0.6623931623931624	0.6642512077294686	0.7421686746987952	0.7033492822966507	0.6642335766423357	0.6787564766839378	0.6658986175115207	0.683291770573566
16	0.7320261437908496	0.6515580736543909	0.7419354838709677	0.6721311475409836	0.6797583081570997	0.6972477064220184	0.6734104046242775	0.630057803468208	0.660377358490566	0.657051282051282	0.65	0.7030456852791879	0.0	0.6786885245901639	0.7052896725440806	0.7298578199052133	0.7259887005649718	0.7039800995024875	0.6876876876876877	0.6611570247933884	0.6947040498442367	0.6912751677852349	0.7443181818181818	0.7694610778443114	0.6766666666666666	0.7049689440993789	0.6685878962536023	0.742671009771987	0.6833855799373041	0.7073791348600509	0.7584097859327217	0.6928571428571428	0.7243401759530792	0.6588921282798834	0.7088948787061995	0.6988950276243094	0.7196765498652291	0.7017045454545454	0.6985645933014354	0.6869565217391305	0.664576802507837	0.6984126984126984	0.6858006042296072	0.7181818181818181	0.660056657223796	0.7241379310344828	0.6702702702702703	0.6923076923076923	0.7073791348600509	0.6702898550724637	0.7032967032967034	0.7217391304347827	0.6888888888888889	0.6542056074766355	0.7169230769230769	0.7142857142857143	0.7111111111111111	0.6962025316455697	0.7180232558139535	0.7286135693215339	0.7051671732522796	0.73125	0.6743515850144092	0.7045454545454546	0.7105263157894737	0.6910112359550562	0.7571428571428571	0.6962750716332379	0.6912181303116147	0.6984615384615385	0.6949602122015915	0.6716867469879518
17	0.6892857142857143	0.684971098265896	0.7043478260869566	0.6443148688046647	0.6793650793650794	0.6764705882352942	0.6925373134328359	0.6437125748502994	0.7204301075268817	0.6599326599326599	0.6630434782608695	0.7037037037037037	0.6786885245901639	0.0	0.6818181818181818	0.7408312958435208	0.6217948717948718	0.6876640419947506	0.6751592356687898	0.6752136752136753	0.6993464052287581	0.7007042253521126	0.7432835820895523	0.7850467289719626	0.6853146853146853	0.7100977198697068	0.647239263803681	0.6727272727272727	0.6875	0.6730245231607629	0.7620578778135049	0.7222222222222222	0.7416413373860182	0.677710843373494	0.7520435967302452	0.717948717948718	0.6802325581395349	0.736231884057971	0.7118226600985221	0.6707692307692308	0.6807817589576547	0.7532051282051282	0.718266253869969	0.7115384615384616	0.6705882352941176	0.7344262295081967	0.6619318181818182	0.7803617571059431	0.7544757033248082	0.704119850187266	0.7002881844380403	0.7195121951219512	0.7402234636871509	0.7469512195121951	0.7468354430379747	0.75	0.6949152542372882	0.7268041237113402	0.6996904024767802	0.7025316455696202	0.7142857142857143	0.7293729372937293	0.6973293768545994	0.7018469656992085	0.7518072289156627	0.6988304093567251	0.7894736842105263	0.7383720930232558	0.6835820895522388	0.7476635514018691	0.7235772357723578	0.6708860759493671
17A	0.7184986595174263	0.645933014354067	0.6586538461538461	0.6285714285714286	0.6791979949874687	0.6936708860759494	0.6544117647058824	0.6442307692307693	0.6285046728971962	0.6710182767624021	0.6137931034482759	0.6584821428571429	0.7052896725440806	0.6818181818181818	0.0	0.6391304347826087	0.6707616707616708	0.5856481481481481	0.6452442159383034	0.6285714285714286	0.7146464646464646	0.7096774193548387	0.696078431372549	0.7316455696202532	0.6620879120879121	0.6932989690721649	0.6060606060606061	0.6591549295774648	0.6436170212765957	0.6125290023201856	0.7116883116883117	0.7403314917127072	0.7440191387559809	0.6585365853658537	0.7213483146067415	0.6983758700696056	0.645083932853717	0.7337962962962963	0.6365591397849463	0.655940594059406	0.6666666666666666	0.6979166666666666	0.7068965517241379	0.7045454545454546	0.6400966183574879	0.7157622739018088	0.60431654676259	0.7380952380952381	0.6828193832599119	0.7270194986072424	0.6555023923444976	0.7048780487804878	0.6682464454976303	0.7047146401985112	0.7099236641221374	0.7409326424870466	0.6702412868632708	0.6495535714285714	0.6985294117647058	0.6942355889724311	0.6836734693877551	0.6912928759894459	0.6778846153846154	0.6418918918918919	0.6502145922746781	0.6439024390243903	0.7647058823529411	0.6739659367396593	0.6403940886699507	0.707808564231738	0.6832579185520362	0.6791044776119403
17B	0.7309644670050761	0.6605922551252847	0.6936936936936937	0.6740576496674058	0.6739130434782609	0.7129186602870813	0.6782407407407407	0.6801801801801802	0.673202614379085	0.7296650717703349	0.6951983298538622	0.6716417910447762	0.7298578199052133	0.7408312958435208	0.6391304347826087	0.0	0.6814988290398126	0.6026490066225165	0.6959619952494062	0.6561797752808989	0.7417061611374408	0.7095115681233933	0.6778042959427207	0.7397590361445783	0.7463054187192119	0.7034313725490197	0.6894977168949772	0.7424242424242424	0.714975845410628	0.6974789915966386	0.7209876543209877	0.7584415584415585	0.706855791962175	0.7058823529411765	0.6598639455782312	0.6986607142857143	0.6808988764044944	0.6767441860465117	0.6584867075664622	0.7246049661399548	0.709832134292566	0.7111111111111111	0.7099056603773585	0.7261904761904762	0.7142857142857143	0.7248157248157249	0.6696035242290749	0.6904761904761905	0.6462882096069869	0.726063829787234	0.6905829596412556	0.6895734597156398	0.6876404494382022	0.689156626506024	0.7344497607655502	0.7518427518427518	0.7114427860696517	0.6744186046511628	0.7169373549883991	0.6723716381418093	0.7311320754716981	0.6984924623115578	0.7117117117117117	0.6673773987206824	0.6493775933609959	0.6526806526806527	0.7007125890736342	0.6844547563805105	0.6894977168949772	0.648989898989899	0.6666666666666666	0.7258064516129032
18	0.7191358024691358	0.6514745308310992	0.6585365853658537	0.660574412532637	0.6855524079320113	0.7094017094017094	0.6574585635359116	0.6953125	0.6734177215189874	0.6765578635014837	0.6764705882352942	0.6748768472906403	0.7259887005649718	0.6217948717948718	0.6707616707616708	0.6814988290398126	0.0	0.63	0.670487106017192	0.6640625	0.6804733727810651	0.7247706422018348	0.739247311827957	0.773109243697479	0.7033639143730887	0.6586102719033232	0.6264044943820225	0.6847133757961783	0.649546827794562	0.6822660098522167	0.7557471264367817	0.724025974025974	0.7307692307692307	0.6837837837837838	0.7189873417721518	0.7360406091370558	0.6541554959785523	0.6954177897574124	0.6339712918660287	0.6776859504132231	0.71671388101983	0.7406340057636888	0.6912181303116147	0.7106017191977078	0.6737400530503979	0.6888217522658611	0.6692307692307692	0.7648456057007126	0.7014563106796117	0.6910299003322259	0.6586021505376344	0.6890756302521008	0.7005208333333334	0.7106741573033708	0.7093023255813954	0.7522123893805309	0.7035928143712575	0.6844660194174758	0.7	0.672463768115942	0.7203389830508474	0.7189349112426036	0.7116402116402116	0.6829268292682927	0.6928406466512702	0.6639566395663956	0.7479674796747967	0.6937669376693767	0.6639344262295082	0.6918604651162791	0.7057356608478803	0.7107438016528925
18A	0.7236842105263158	0.6092233009708737	0.6547619047619048	0.6085918854415274	0.6582914572864321	0.6759493670886076	0.6271604938271605	0.6372315035799523	0.5924170616113744	0.6597402597402597	0.6041189931350115	0.6244343891402715	0.7039800995024875	0.6876640419947506	0.5856481481481481	0.6026490066225165	0.63	0.0	0.6412213740458015	0.6410256410256411	0.680306905370844	0.7082228116710876	0.7166666666666667	0.7639902676399026	0.7034120734908137	0.6887755102040817	0.6432038834951457	0.7085561497326203	0.6911392405063291	0.6312217194570136	0.7265822784810126	0.7349726775956285	0.7333333333333333	0.6348039215686274	0.6697459584295612	0.675990675990676	0.6445497630331753	0.684085510688836	0.6185344827586207	0.6585365853658537	0.6990049751243781	0.7164556962025317	0.6896551724137931	0.7096774193548387	0.6713286713286714	0.694300518134715	0.6042654028436019	0.7117903930131004	0.625	0.6892655367231638	0.6611764705882353	0.6650124069478908	0.6548463356973995	0.6905940594059405	0.7371007371007371	0.7581863979848866	0.7002583979328165	0.6430155210643016	0.6650124069478908	0.6766917293233082	0.7336561743341404	0.7168367346938775	0.6832151300236406	0.6292134831460674	0.6439232409381663	0.6466346153846154	0.7599067599067599	0.6825775656324582	0.6332518337408313	0.6768447837150128	0.6428571428571429	0.6650124069478908
18B	0.6406779661016949	0.6925133689839572	0.6749311294765841	0.6476964769647696	0.6486486486486487	0.6656534954407295	0.6475644699140402	0.6802168021680217	0.6821705426356589	0.6625386996904025	0.6478149100257069	0.6700507614213198	0.6876876876876877	0.6751592356687898	0.6452442159383034	0.6959619952494062	0.670487106017192	0.6412213740458015	0.0	0.6586021505376344	0.6625386996904025	0.6521739130434783	0.673469387755102	0.7418397626112759	0.6731391585760518	0.6687306501547987	0.6389684813753582	0.67	0.6676923076923077	0.6606683804627249	0.6947040498442367	0.6560283687943262	0.6506024096385542	0.6897506925207756	0.7154046997389034	0.7161803713527851	0.6881720430107527	0.7193460490463215	0.6955503512880562	0.664756446991404	0.677710843373494	0.6656151419558359	0.6938775510204082	0.7214076246334311	0.6424581005586593	0.6915887850467289	0.6569148936170213	0.735	0.6743002544529262	0.6986301369863014	0.6602209944751382	0.7065527065527065	0.7066666666666667	0.7101449275362319	0.660436137071651	0.7178683385579937	0.7107692307692308	0.6461538461538462	0.6840579710144927	0.6626506024096386	0.6615853658536586	0.6987577639751553	0.7041095890410959	0.6581632653061225	0.6919431279620853	0.6657381615598886	0.7163323782234957	0.6816901408450704	0.6581920903954802	0.6906906906906907	0.7084398976982097	0.672514619883041
20A	0.7215909090909091	0.6134020618556701	0.6716791979949874	0.63	0.6586021505376344	0.7055702917771883	0.6289473684210526	0.6326530612244898	0.6197530864197531	0.6638888888888889	0.6342042755344418	0.6517647058823529	0.6611570247933884	0.6752136752136753	0.6285714285714286	0.6561797752808989	0.6640625	0.6410256410256411	0.6586021505376344	0.0	0.667590027700831	0.7122507122507122	0.6976744186046512	0.7617801047120419	0.6923076923076923	0.7088948787061995	0.6137566137566137	0.7126436781609196	0.6611111111111111	0.6063569682151589	0.7419354838709677	0.7337278106508875	0.6955380577427821	0.5853658536585366	0.6932367149758454	0.6368286445012787	0.640506329113924	0.682741116751269	0.6412556053811659	0.6411609498680739	0.670299727520436	0.7103825136612022	0.6711229946524064	0.6997319034852547	0.6455696202531646	0.7220708446866485	0.6045340050377834	0.7032710280373832	0.6744186046511628	0.6880733944954128	0.665	0.6901041666666666	0.6377551020408163	0.6861702127659575	0.7018970189701897	0.7382920110192838	0.6628571428571428	0.655011655011655	0.7069408740359897	0.6675675675675675	0.663013698630137	0.6890756302521008	0.695	0.6565420560747663	0.673289183222958	0.649616368286445	0.7605985037406484	0.6709511568123393	0.6174142480211082	0.6527777777777778	0.684085510688836	0.6657824933687002
