	11A	11B	12A	12B	14A	14B	15A	15B	17A	17B	18A	18B	20A	20B	21A	21B	23A	23B	24A	24B	2A	2B	3A	3B	5A	5B	6A	6B	8A	8B	9A	9B
23A	0.3583036065101624	0.3268888294696808	0.4183712899684906	0.300722599029541	0.4322775602340698	0.6501463651657104	0.3545967638492584	0.5458669662475586	0.3555756509304047	0.6224005222320557	0.5177032351493835	0.3336673080921173	0.3676950335502625	0.3784408569335938	0.3994184136390686	0.5732513070106506	0	0.2659288644790649	0.3265437185764313	0.6675539612770081	0.6016539335250854	0.5038815140724182	0.3613690137863159	0.2195796221494675	0.4417603313922882	0.7064629197120667	0.3256077766418457	0.5513899922370911	0.505594789981842	0.442399799823761	0.5182620882987976	0.2164892554283142
23B	0.3645115792751312	0.4252207577228546	0.3269148766994476	0.2879525721073151	0.4887737631797791	0.75851970911026	0.3539613485336304	0.6313215494155884	0.358090877532959	0.5948131084442139	0.5640962719917297	0.3467916548252106	0.3891661167144775	0.3673774003982544	0.4235184788703918	0.5660490393638611	0.2659288644790649	0	0.3233624696731567	0.6103436350822449	0.678698718547821	0.4888522028923035	0.3734157681465149	0.217750608921051	0.4164769649505615	0.8004488945007324	0.3064500391483307	0.6077015995979309	0.5389250516891479	0.3824242651462555	0.5731313228607178	0.2804420590400696
24A	0.3577648997306824	0.3094784021377563	0.5024281144142151	0.399491012096405	0.3326645493507385	0.5829978585243225	0.2204718589782715	0.4586990475654602	0.2521047294139862	0.4285719394683838	0.4009887874126434	0.3202710747718811	0.2701120674610138	0.3883682489395142	0.3681635856628418	0.5543346405029297	0.3265437185764313	0.3233624696731567	0	0.6838610768318176	0.492678701877594	0.4058457911014557	0.3697481751441956	0.34502774477005	0.4597135186195374	0.6512198448181152	0.3178577125072479	0.5948349833488464	0.518649697303772	0.3749411702156067	0.4384730160236359	0.35125333070755
24B	0.7553248405456543	0.807362973690033	0.6220476031303406	0.5811968445777893	0.7268127202987671	0.9938671588897705	0.6393415927886963	0.8365413546562195	0.6057169437408447	0.8063860535621643	0.847661554813385	0.6083229184150696	0.6052520275115967	0.5252684950828552	0.6203657984733582	0.6035192012786865	0.6675539612770081	0.6103436350822449	0.6838610768318176	0	0.7758327722549438	0.6373292803764343	0.6115846633911133	0.6483448147773743	0.6472644805908203	1.013209819793701	0.5035045742988586	0.5480576753616333	0.4323941171169281	0.4166444838047028	0.8325484395027161	0.6581208109855652
2A	0.5464688539505005	0.4784601330757141	0.7053195834159851	0.5573243498802185	0.382717490196228	0.5179548263549805	0.4185461401939392	0.4304978549480438	0.4515615105628967	0.4869030117988586	0.4778937101364136	0.5418106913566589	0.4201995730400085	0.6158031225204468	0.5504204034805298	0.6491453647613525	0.6016539335250854	0.678698718547821	0.492678701877594	0.7758327722549438	0	0.4223400354385376	0.573512077331543	0.6063503623008728	0.6161221265792847	0.5783309936523438	0.5260933637619019	0.6019108295440674	0.5205259919166565	0.5815975666046143	0.4488089382648468	0.5857427716255188
2B	0.5461665987968445	0.5196642875671387	0.5940213203430176	0.4573146998882294	0.3977012038230896	0.6000733971595764	0.3746961057186127	0.4727595746517181	0.4099284410476685	0.5493266582489014	0.5529057383537292	0.5291990637779236	0.3478738367557526	0.4101534187793732	0.497618705034256	0.5901055932044983	0.5038815140724182	0.4888522028923035	0.4058457911014557	0.6373292803764343	0.4223400354385376	0	0.5306867957115173	0.4399702250957489	0.6293084621429443	0.6077912449836731	0.3582494258880615	0.5466591119766235	0.3742974698543549	0.3822576105594635	0.5675984621047974	0.4434753656387329
3A	0.4999034404754639	0.4525682032108307	0.5345629453659058	0.4793098866939545	0.4457195401191711	0.6414693593978882	0.3277661800384521	0.6174523830413818	0.3288319706916809	0.5082650184631348	0.5183849930763245	0.2430324256420135	0.3153838813304901	0.3119364082813263	0.2961001098155975	0.3884918391704559	0.3613690137863159	0.3734157681465149	0.3697481751441956	0.6115846633911133	0.573512077331543	0.5306867957115173	0	0.3876263201236725	0.3896466493606567	0.7089990377426147	0.3592691421508789	0.5609008073806763	0.5497540235519409	0.4416422247886658	0.5638031363487244	0.4462346136569977
3B	0.3777320683002472	0.3576707541942596	0.4233681261539459	0.2462043762207031	0.4721821546554565	0.6681303977966309	0.3960611522197723	0.5423430204391479	0.398815393447876	0.6523186564445496	0.5667126178741455	0.4168031215667725	0.3897387385368347	0.3701144456863403	0.4617234468460083	0.6135472655296326	0.2195796221494675	0.217750608921051	0.34502774477005	0.6483448147773743	0.6063503623008728	0.4399702250957489	0.3876263201236725	0	0.4833451211452484	0.7266353964805603	0.3013110160827637	0.5442612171173096	0.4939684271812439	0.3990756571292877	0.5357427597045898	0.1917398571968079
5A	0.4777563214302063	0.5235766768455505	0.4154060184955597	0.4419474303722382	0.5240161418914795	0.850325882434845	0.4550818800926208	0.7331265807151794	0.4083276391029358	0.5859292149543762	0.622402548789978	0.3199760317802429	0.4365682303905487	0.4072985351085663	0.4581849575042725	0.3890917003154755	0.4417603313922882	0.4164769649505615	0.4597135186195374	0.6472644805908203	0.6161221265792847	0.6293084621429443	0.3896466493606567	0.4833451211452484	0	0.8702529668807983	0.4706309139728546	0.5900998711585999	0.6142001748085022	0.5017605423927307	0.5112014412879944	0.50307697057724
5B	0.7429788708686829	0.6106909513473511	0.9373263120651245	0.7575674057006836	0.6178957223892212	0.5040944218635559	0.6271615028381348	0.6016629934310913	0.6312745809555054	0.5084449052810669	0.5444754362106323	0.6780315041542053	0.6199485063552856	0.7763890624046326	0.6241301298141479	0.8215252161026001	0.7064629197120667	0.8004488945007324	0.6512198448181152	1.013209819793701	0.5783309936523438	0.6077912449836731	0.7089990377426147	0.7266353964805603	0.8702529668807983	0	0.6868901252746582	0.8333462476730347	0.7031265497207642	0.78634113073349	0.7375181913375854	0.7255828380584717
6A	0.4559193253517151	0.40981325507164	0.4194230437278748	0.3056338429450989	0.4024911522865295	0.6371616721153259	0.2677371799945831	0.5175349712371826	0.2800475358963013	0.5029788017272949	0.5089285373687744	0.3207294940948486	0.3053964674472809	0.2683210968971252	0.3318675756454468	0.4627633392810822	0.3256077766418457	0.3064500391483307	0.3178577125072479	0.5035045742988586	0.5260933637619019	0.3582494258880615	0.3592691421508789	0.3013110160827637	0.4706309139728546	0.6868901252746582	0	0.4653197824954987	0.3457502424716949	0.267492413520813	0.5267684459686279	0.3036474883556366
6B	0.6379105448722839	0.6876220703125	0.5808711051940918	0.4881263673305511	0.6190508008003235	0.8140389919281006	0.5924907922744751	0.6551185846328735	0.549609363079071	0.7384704351425171	0.7385879158973694	0.5977082252502441	0.5609659552574158	0.5040916204452515	0.5432140231132507	0.5266774892807007	0.5513899922370911	0.6077015995979309	0.5948349833488464	0.5480576753616333	0.6019108295440674	0.5466591119766235	0.5609008073806763	0.5442612171173096	0.5900998711585999	0.8333462476730347	0.4653197824954987	0	0.4337719678878784	0.5220053195953369	0.6631706953048706	0.5638656616210938
8A	0.6394219994544983	0.6240645051002502	0.5751729607582092	0.4580918252468109	0.5352924466133118	0.7452980279922485	0.4912299513816833	0.5934895873069763	0.4610159695148468	0.672344982624054	0.682657778263092	0.5193114280700684	0.4543432295322418	0.4196139574050903	0.484719306230545	0.5651795268058777	0.505594789981842	0.5389250516891479	0.518649697303772	0.4323941171169281	0.5205259919166565	0.3742974698543549	0.5497540235519409	0.4939684271812439	0.6142001748085022	0.7031265497207642	0.3457502424716949	0.4337719678878784	0	0.3216858506202698	0.6456968784332275	0.5237921476364136
8B	0.5004780888557434	0.5024184584617615	0.5078324675559998	0.4016425609588623	0.4333015382289886	0.722764253616333	0.3243291079998016	0.5685082674026489	0.3399371802806854	0.5496708750724792	0.5684980750083923	0.3913714289665222	0.3157815635204315	0.2933124303817749	0.463474452495575	0.5049579739570618	0.442399799823761	0.3824242651462555	0.3749411702156067	0.4166444838047028	0.5815975666046143	0.3822576105594635	0.4416422247886658	0.3990756571292877	0.5017605423927307	0.78634113073349	0.267492413520813	0.5220053195953369	0.3216858506202698	0	0.5855638384819031	0.4101181030273438
9A	0.4366073608398438	0.3500455021858215	0.6046751141548157	0.472115695476532	0.376592218875885	0.6460608839988708	0.4051511585712433	0.5416021943092346	0.4428900182247162	0.5625510215759277	0.4677412211894989	0.5023766160011292	0.4608157277107239	0.640857994556427	0.5925122499465942	0.7065969705581665	0.5182620882987976	0.5731313228607178	0.4384730160236359	0.8325484395027161	0.4488089382648468	0.5675984621047974	0.5638031363487244	0.5357427597045898	0.5112014412879944	0.7375181913375854	0.5267684459686279	0.6631706953048706	0.6456968784332275	0.5855638384819031	0	0.504175066947937
9B	0.3645966351032257	0.3258279263973236	0.4149821400642395	0.262787252664566	0.4521385729312897	0.6612411141395569	0.3861535489559174	0.5403530597686768	0.4082115590572357	0.6276678442955017	0.5361823439598083	0.4207416772842407	0.4306457340717316	0.414951354265213	0.4554774165153503	0.5993817448616028	0.2164892554283142	0.2804420590400696	0.35125333070755	0.6581208109855652	0.5857427716255188	0.4434753656387329	0.4462346136569977	0.1917398571968079	0.50307697057724	0.7255828380584717	0.3036474883556366	0.5638656616210938	0.5237921476364136	0.4101181030273438	0.504175066947937	0
