	11A	11B	12A	12B	14A	14B	15A	15B	17A	17B	18A	18B	20A	20B	21A	21B	23A	23B	24A	24B	2A	2B	3A	3B	5A	5B	6A	6B	8A	8B	9A	9B
20B	0.7232876712328767	0.6981132075471698	0.7283582089552239	0.6988636363636364	0.7189189189189189	0.6914893617021277	0.6828644501278772	0.73	0.7092731829573935	0.7388235294117647	0.6810126582278481	0.6656441717791411	0.6712328767123288	0.0	0.6982248520710059	0.7308868501529052	0.6608695652173913	0.6631944444444444	0.7113924050632912	0.7391304347826086	0.723404255319149	0.6750700280112045	0.6677215189873418	0.6448863636363636	0.7453416149068323	0.7333333333333333	0.6788732394366197	0.7113095238095238	0.6822157434402333	0.66	0.7172774869109948	0.6756756756756757
21A	0.7210526315789474	0.7036082474226805	0.7293447293447294	0.7115902964959568	0.7525252525252525	0.690537084398977	0.7077294685990339	0.7121951219512195	0.6919315403422983	0.6761904761904762	0.7180094786729858	0.673469387755102	0.6984536082474226	0.6982248520710059	0.0	0.6234177215189873	0.6972972972972973	0.7383177570093458	0.6938271604938272	0.6892307692307692	0.7531172069825436	0.7060367454068242	0.6676737160120846	0.6886543535620053	0.7073170731707317	0.7407407407407407	0.6711956521739131	0.7020057306590258	0.6704225352112676	0.7063492063492064	0.7344913151364765	0.7472826086956522
21B	0.7900262467191601	0.7743589743589744	0.7164634146341463	0.7554945054945055	0.7786458333333334	0.7480719794344473	0.7885985748218527	0.8023809523809524	0.7344913151364765	0.7387173396674585	0.7596153846153846	0.7426900584795322	0.7596899224806202	0.7308868501529052	0.6234177215189873	0.0	0.7479452054794521	0.7540983606557377	0.7677261613691931	0.7229299363057324	0.7851662404092071	0.7586206896551724	0.72	0.7578947368421053	0.7452830188679245	0.7908847184986595	0.7039106145251397	0.7448680351906158	0.7005813953488372	0.7356948228882834	0.7965260545905707	0.7752808988764045
23A	0.656084656084656	0.6469072164948454	0.6853932584269663	0.6033519553072626	0.6456692913385826	0.6683291770573566	0.6109725685785536	0.6714975845410628	0.5969773299748111	0.6863636363636364	0.6433734939759036	0.6371428571428571	0.6131578947368421	0.6608695652173913	0.6972972972972973	0.7479452054794521	0.0	0.5622895622895623	0.583547557840617	0.7308781869688386	0.7014925373134329	0.6553524804177546	0.6771428571428572	0.616	0.695906432748538	0.6894736842105263	0.6409574468085106	0.7400530503978779	0.6277777777777778	0.5883977900552486	0.6766169154228856	0.6583333333333333
23B	0.7210682492581603	0.6976744186046512	0.7095709570957096	0.6944444444444444	0.7348703170028819	0.7198879551820728	0.7096774193548387	0.728494623655914	0.659217877094972	0.7380352644836272	0.7074468085106383	0.6710963455149501	0.7106017191977078	0.6631944444444444	0.7383177570093458	0.7540983606557377	0.5622895622895623	0.0	0.6906077348066298	0.7466216216216216	0.7393767705382436	0.7155425219941349	0.6870748299319728	0.6726726726726727	0.7097902097902098	0.7357357357357357	0.6927710843373494	0.7601246105919003	0.7009345794392523	0.676829268292683	0.7534246575342466	0.7232704402515723
24A	0.6785714285714286	0.6348448687350835	0.6794871794871795	0.6325	0.65311004784689	0.6488372093023256	0.6178489702517163	0.6584269662921348	0.6114942528735632	0.6869747899159664	0.6261261261261262	0.6529562982005142	0.6034063260340633	0.7113924050632912	0.6938271604938272	0.7677261613691931	0.583547557840617	0.6906077348066298	0.0	0.7686567164179104	0.7155756207674944	0.6587112171837709	0.7218045112781954	0.6262135922330098	0.7060367454068242	0.7354988399071926	0.6521739130434783	0.7746478873239436	0.7057416267942583	0.6456310679611651	0.6720183486238532	0.684863523573201
24B	0.7616438356164383	0.739247311827957	0.7283950617283951	0.7386363636363636	0.7667560321715817	0.7287234042553191	0.7348484848484849	0.7493670886075949	0.7153846153846154	0.7205882352941176	0.7261306532663316	0.6925465838509317	0.744	0.7391304347826086	0.6892307692307692	0.7229299363057324	0.7308781869688386	0.7466216216216216	0.7686567164179104	0.0	0.7336956521739131	0.7792553191489362	0.7120253164556962	0.7384196185286104	0.7419354838709677	0.7371428571428571	0.7146892655367232	0.7186544342507645	0.6964285714285714	0.739612188365651	0.7731958762886598	0.7729885057471264
2A	0.7012345679012346	0.6723716381418093	0.7005347593582888	0.6952141057934509	0.6814814814814815	0.6698795180722892	0.6781609195402298	0.6851851851851852	0.7165178571428571	0.6576576576576577	0.664367816091954	0.7109375	0.6899038461538461	0.723404255319149	0.7531172069825436	0.7851662404092071	0.7014925373134329	0.7393767705382436	0.7155756207674944	0.7336956521739131	0.0	0.6472081218274112	0.7275132275132276	0.6997578692493946	0.7146814404432132	0.6903553299492385	0.660759493670886	0.7060367454068242	0.6735751295336787	0.6873449131513648	0.645320197044335	0.6884816753926701
2B	0.6893939393939394	0.6464646464646465	0.7123655913978495	0.6829896907216495	0.6417525773195877	0.6408977556109726	0.6476190476190476	0.6983758700696056	0.700228832951945	0.6997792494481236	0.674364896073903	0.7191601049868767	0.6414141414141414	0.6750700280112045	0.7060367454068242	0.7586206896551724	0.6553524804177546	0.7155425219941349	0.6587112171837709	0.7792553191489362	0.6472081218274112	0.0	0.7119565217391305	0.6716791979949874	0.7270194986072424	0.7081218274111675	0.6370757180156658	0.7376623376623377	0.6848958333333334	0.6784810126582278	0.6852300242130751	0.6465753424657534
3A	0.7134986225895317	0.6954177897574124	0.7291666666666666	0.6885714285714286	0.7196765498652291	0.6853333333333333	0.7164179104477612	0.7585365853658537	0.7035175879396985	0.7244655581947743	0.7142857142857143	0.7214076246334311	0.7005347593582888	0.6677215189873418	0.6676737160120846	0.72	0.6771428571428572	0.6870748299319728	0.7218045112781954	0.7120253164556962	0.7275132275132276	0.7119565217391305	0.0	0.6685236768802229	0.7142857142857143	0.7479452054794521	0.7193460490463215	0.7346938775510204	0.6907514450867052	0.6797752808988764	0.7538071065989848	0.7262247838616714
3B	0.6892230576441103	0.6259541984732825	0.6694214876033058	0.6339522546419099	0.6590909090909091	0.6739130434782609	0.6477541371158393	0.6921296296296297	0.6413301662707839	0.7136659436008677	0.6651270207852193	0.6520547945205479	0.6416040100250626	0.6448863636363636	0.6886543535620053	0.7578947368421053	0.616	0.6726726726726727	0.6262135922330098	0.7384196185286104	0.6997578692493946	0.6716791979949874	0.6685236768802229	0.0	0.6940509915014165	0.7206982543640897	0.6717171717171717	0.720626631853786	0.6948717948717948	0.6615776081424937	0.6819277108433734	0.628099173553719
5A	0.6803519061583577	0.6845070422535211	0.6858974358974359	0.6686746987951807	0.7277777777777777	0.7169811320754716	0.7237851662404092	0.6949602122015915	0.693717277486911	0.6967418546365914	0.7182741116751269	0.6987577639751553	0.6899441340782123	0.7453416149068323	0.7073170731707317	0.7452830188679245	0.695906432748538	0.7097902097902098	0.7060367454068242	0.7419354838709677	0.7146814404432132	0.7270194986072424	0.7142857142857143	0.6940509915014165	0.0	0.7464387464387464	0.6355421686746988	0.7401812688821753	0.7176470588235294	0.6637168141592921	0.6796657381615598	0.716012084592145
5B	0.7095115681233933	0.655440414507772	0.7058823529411765	0.6896551724137931	0.671875	0.6461538461538462	0.7035294117647058	0.6731707317073171	0.6818181818181818	0.7117117117117117	0.6832151300236406	0.7024793388429752	0.6942355889724311	0.7333333333333333	0.7407407407407407	0.7908847184986595	0.6894736842105263	0.7357357357357357	0.7354988399071926	0.7371428571428571	0.6903553299492385	0.7081218274111675	0.7479452054794521	0.7206982543640897	0.7464387464387464	0.0	0.6710526315789473	0.7459893048128342	0.6775067750677507	0.7117346938775511	0.6750629722921915	0.6895604395604396
6A	0.6447368421052632	0.6323907455012854	0.6731843575418994	0.633423180592992	0.648578811369509	0.6269035532994924	0.6571428571428571	0.6642685851318945	0.6343825665859564	0.648960739030023	0.639618138424821	0.6629834254143646	0.6481012658227848	0.6788732394366197	0.6711956521739131	0.7039106145251397	0.6409574468085106	0.6927710843373494	0.6521739130434783	0.7146892655367232	0.660759493670886	0.6370757180156658	0.7193460490463215	0.6717171717171717	0.6355421686746988	0.6710526315789473	0.0	0.6866485013623979	0.6311475409836066	0.6404199475065617	0.6625310173697271	0.6426592797783933
6B	0.7460732984293194	0.7346938775510204	0.7421203438395415	0.7473404255319149	0.7794486215538847	0.7468982630272953	0.75177304964539	0.7415458937198067	0.7634660421545667	0.7051886792452831	0.7610208816705336	0.72	0.7581047381546134	0.7113095238095238	0.7020057306590258	0.7448680351906158	0.7400530503978779	0.7601246105919003	0.7746478873239436	0.7186544342507645	0.7060367454068242	0.7376623376623377	0.7346938775510204	0.720626631853786	0.7401812688821753	0.7459893048128342	0.6866485013623979	0.0	0.7047353760445683	0.764102564102564	0.7518610421836228	0.7318435754189944
8A	0.6894736842105263	0.6726804123711341	0.7098591549295775	0.6827956989247311	0.7286432160804021	0.6494845360824743	0.6882494004796164	0.7019230769230769	0.6723300970873787	0.6821345707656613	0.6833333333333333	0.6770538243626062	0.6709511568123393	0.6822157434402333	0.6704225352112676	0.7005813953488372	0.6277777777777778	0.7009345794392523	0.7057416267942583	0.6964285714285714	0.6735751295336787	0.6848958333333334	0.6907514450867052	0.6948717948717948	0.7176470588235294	0.6775067750677507	0.6311475409836066	0.7047353760445683	0.0	0.660427807486631	0.6884422110552764	0.7076502732240437
8B	0.6895674300254453	0.6666666666666666	0.6878453038674033	0.6692913385826772	0.6725888324873096	0.654228855721393	0.6474820143884892	0.6642685851318945	0.6507177033492823	0.6912751677852349	0.6298076923076923	0.6666666666666666	0.6272493573264781	0.66	0.7063492063492064	0.7356948228882834	0.5883977900552486	0.676829268292683	0.6456310679611651	0.739612188365651	0.6873449131513648	0.6784810126582278	0.6797752808988764	0.6615776081424937	0.6637168141592921	0.7117346938775511	0.6404199475065617	0.764102564102564	0.660427807486631	0.0	0.6756756756756757	0.7037037037037037
9A	0.683046683046683	0.6545012165450121	0.7049608355091384	0.6632911392405063	0.6796116504854369	0.6745283018867925	0.673469387755102	0.6651270207852193	0.6853932584269663	0.6651982378854625	0.6444954128440367	0.7084398976982097	0.6817102137767221	0.7172774869109948	0.7344913151364765	0.7965260545905707	0.6766169154228856	0.7534246575342466	0.6720183486238532	0.7731958762886598	0.645320197044335	0.6852300242130751	0.7538071065989848	0.6819277108433734	0.6796657381615598	0.6750629722921915	0.6625310173697271	0.7518610421836228	0.6884422110552764	0.6756756756756757	0.0	0.6517150395778364
9B	0.6693989071038251	0.6415094339622641	0.6536144578313253	0.6544943820224719	0.6211699164345403	0.6744186046511628	0.6430379746835443	0.6840796019900498	0.683046683046683	0.7254004576659039	0.6650246305418719	0.6782608695652174	0.6649076517150396	0.6756756756756757	0.7472826086956522	0.7752808988764045	0.6583333333333333	0.7232704402515723	0.684863523573201	0.7729885057471264	0.6884816753926701	0.6465753424657534	0.7262247838616714	0.628099173553719	0.716012084592145	0.6895604395604396	0.6426592797783933	0.7318435754189944	0.7076502732240437	0.7037037037037037	0.6517150395778364	0.0
