	11A	11B	12A	12B	14A	14B	15A	15B	17A	17B	18A	18B	20A	20B	21A	21B	23A	23B	24A	24B	2A	2B	3A	3B	5A	5B	6A	6B	8A	8B	9A	9B
18A	0.4408066272735596	0.4064703583717346	0.4911840260028839	0.4565778076648712	0.4147459268569946	0.3885913789272308	0.4064219892024994	0.3968187272548676	0.3574694991111755	0.3951561450958252	0	0.4647811651229858	0.4151147305965424	0.5014110207557678	0.4942186176776886	0.5762391686439514	0.4196935594081879	0.5082916617393494	0.4104337394237518	0.5205686092376709	0.4605928361415863	0.4401244223117828	0.5099194049835205	0.4549820125102997	0.4804592132568359	0.48737433552742	0.4217716753482819	0.5118902921676636	0.4364269971847534	0.432350367307663	0.4231319427490234	0.476131409406662
18B	0.4626284241676331	0.4550727605819702	0.4811960756778717	0.4787356555461884	0.4863433241844177	0.4656316637992859	0.4550295770168304	0.4528448283672333	0.4387089610099792	0.4891422092914581	0.4647811651229858	0	0.452513575553894	0.4718083143234253	0.4662858545780182	0.4989118576049805	0.4248600602149963	0.4559775590896606	0.4678236842155457	0.4534310102462769	0.5306444764137268	0.4860712587833405	0.4959423243999481	0.4686886370182037	0.4721361100673676	0.4603346586227417	0.4304028153419495	0.44774129986763	0.4354880154132843	0.4789502918720245	0.513170599937439	0.5004721283912659
20A	0.440202385187149	0.4131126403808594	0.5026282072067261	0.4567847847938538	0.4112215936183929	0.3928004801273346	0.4049215614795685	0.4247910380363464	0.4011474251747131	0.4494776427745819	0.4151147305965424	0.452513575553894	0	0.4816954731941223	0.5029593110084534	0.5623793005943298	0.3980240821838379	0.5021218061447144	0.3938963115215302	0.5316646099090576	0.4740154445171356	0.4127347767353058	0.4829398393630981	0.4638027846813202	0.4838321506977081	0.4824057817459106	0.4309870898723602	0.5187162756919861	0.4384685158729553	0.4361748695373535	0.4766014218330383	0.4705692827701569
20B	0.4954630136489868	0.4655055105686188	0.4815057814121246	0.4782503247261047	0.5013284087181091	0.4604454636573792	0.4853846728801727	0.5107184052467346	0.4932445585727692	0.533231794834137	0.5014110207557678	0.4718083143234253	0.4816954731941223	0	0.4822895526885986	0.5530146360397339	0.4184869229793549	0.4468317031860352	0.4933123886585236	0.5152761340141296	0.4979112446308136	0.4356870353221893	0.4895444810390472	0.4515062868595123	0.5023127198219299	0.4841074347496033	0.4958837628364563	0.4949407577514648	0.4494443237781525	0.4564346373081207	0.503695547580719	0.4747201800346375
21A	0.492087721824646	0.4861200153827667	0.4785489439964294	0.4992858171463013	0.5375993847846985	0.4849704802036285	0.4815042912960052	0.4624021053314209	0.4838584661483765	0.4622866809368134	0.4942186176776886	0.4662858545780182	0.5029593110084534	0.4822895526885986	0	0.4077423512935638	0.4814467132091522	0.5082531571388245	0.4842235743999481	0.4576013386249542	0.5488957166671753	0.4771551191806793	0.4577997922897339	0.4859479069709778	0.4829748570919037	0.5179182291030884	0.4588223993778229	0.4502214789390564	0.4417180120944977	0.5045326352119446	0.5222390294075012	0.5373435616493225
21B	0.5613492131233215	0.5541459918022156	0.5004006028175354	0.5542080402374268	0.5825177431106567	0.5423220992088318	0.5749672651290894	0.5796401500701904	0.5343234539031982	0.5212538838386536	0.5762391686439514	0.4989118576049805	0.5623793005943298	0.5530146360397339	0.4077423512935638	0	0.5445053577423096	0.5405914187431335	0.5723817348480225	0.4972962439060211	0.5901331305503845	0.5475319027900696	0.5028258562088013	0.5656136274337769	0.5299329161643982	0.5642538666725159	0.5026753544807434	0.4920961558818817	0.4889360070228577	0.548677921295166	0.5941324830055237	0.5618510246276855
23A	0.4263817965984344	0.4402250051498413	0.4941206872463226	0.432817131280899	0.4451911449432373	0.4373088479042053	0.4020044803619385	0.4345321655273438	0.3687911629676819	0.4809260666370392	0.4196935594081879	0.4248600602149963	0.3980240821838379	0.4184869229793549	0.4814467132091522	0.5445053577423096	0	0.3791434466838837	0.4125891923904419	0.5148707032203674	0.4865565598011017	0.40427166223526	0.4469373822212219	0.3992288112640381	0.4746313393115997	0.4814296066761017	0.427899032831192	0.4823550283908844	0.3944806158542633	0.41831374168396	0.4563069939613342	0.4627448916435242
23B	0.4882546961307526	0.506561279296875	0.5148438811302185	0.4717893004417419	0.5281444787979126	0.5108466148376465	0.4926685392856598	0.4922622740268707	0.4699688255786896	0.5404926538467407	0.5082916617393494	0.4559775590896606	0.5021218061447144	0.4468317031860352	0.5082531571388245	0.5405914187431335	0.3791434466838837	0	0.5110725164413452	0.5111126303672791	0.5485999584197998	0.4862238764762878	0.4596754014492035	0.4647383391857147	0.4838196337223053	0.5318043828010559	0.4819673001766205	0.5166295766830444	0.4768061935901642	0.4768769145011902	0.5321124196052551	0.5192726850509644
24A	0.4450737535953522	0.4316521286964417	0.4806434810161591	0.4431345164775848	0.4411667287349701	0.427301824092865	0.3957799673080444	0.4444390535354614	0.416010320186615	0.4642800986766815	0.4104337394237518	0.4678236842155457	0.3938963115215302	0.4933123886585236	0.4842235743999481	0.5723817348480225	0.4125891923904419	0.5110725164413452	0	0.5479089021682739	0.4902843534946442	0.4384369552135468	0.5155537128448486	0.4182833135128021	0.4790098667144775	0.503848671913147	0.4184785485267639	0.5103076100349426	0.4572662115097046	0.4181360304355621	0.4589421153068542	0.477255791425705
24B	0.5328299403190613	0.5251503586769104	0.5170445442199707	0.5090619325637817	0.5565592050552368	0.5277488231658936	0.5330310463905334	0.517827033996582	0.5173081755638123	0.5080349445343018	0.5205686092376709	0.4534310102462769	0.5316646099090576	0.5152761340141296	0.4576013386249542	0.4972962439060211	0.5148707032203674	0.5111126303672791	0.5479089021682739	0	0.5314218997955322	0.5419610142707825	0.4870053827762604	0.5051639080047607	0.5077399611473083	0.4861460328102112	0.473992645740509	0.465128093957901	0.4627979397773743	0.5313276052474976	0.5512152910232544	0.5744875073432922
